generation,best_length
247,4988.881291
248,4988.881291
249,4988.881291
250,4988.881291
251,4988.881291
252,4988.881291
253,4988.881291
254,4988.881291
255,4988.881291
256,4988.881291
257,4988.881291
258,4988.881291
259,4988.881291
260,4988.881291
261,4988.881291
262,4988.881291
263,4988.881291
264,4988.881291
265,4988.881291
266,4988.881291
267,4988.881291
268,4988.881291
269,4988.881291
270,4988.881291
271,4988.881291
272,4988.881291
273,4988.881291
274,4988.881291
275,4988.881291
276,4988.881291
277,4988.881291
278,4988.881291
279,4988.881291
280,4988.881291
281,4988.881291
282,4988.881291
283,4988.881291
284,4988.881291
285,4988.881291
286,4988.881291
287,4988.881291
288,4988.881291
289,4988.881291
290,4988.881291
291,4988.881291
292,4988.881291
293,4988.881291
294,4988.881291
295,4988.881291
296,4988.881291
297,4988.881291
298,4988.881291
299,4988.881291
300,4988.881291
301,4988.881291
302,4988.881291
303,4988.881291
304,4988.881291
305,4988.881291
306,4988.881291
307,4988.881291
308,4988.881291
309,4988.881291
310,4988.881291
311,4988.881291
312,4988.881291
313,4988.881291
314,4988.881291
315,4988.881291
316,4988.881291
317,4988.881291
318,4988.881291
319,4988.881291
320,4988.881291
321,4988.881291
322,4988.881291
323,4988.881291
324,4988.881291
325,4988.881291
326,4988.881291
327,4988.881291
328,4988.881291
329,4988.881291
330,4988.881291
331,4988.881291
332,4988.881291
333,4988.881291
334,4988.881291
335,4988.881291
336,4988.881291
337,4988.881291
338,4988.881291
339,4988.881291
340,4988.881291
341,4988.881291
342,4988.881291
343,4988.881291
344,4988.881291
345,4988.881291
346,4988.881291
347,4988.881291
348,4988.881291
349,4988.881291
350,4988.881291
351,4988.881291
352,4988.881291
353,4988.881291
354,4988.881291
355,4988.881291
356,4988.881291
357,4988.881291
358,4988.881291
359,4988.881291
360,4988.881291
361,4988.881291
362,4988.881291
363,4988.881291
364,4988.881291
365,4988.881291
366,4988.881291
367,4988.881291
368,4988.881291
369,4988.881291
370,4988.881291
371,4988.881291
372,4988.881291
373,4988.881291
374,4988.881291
375,4988.881291
376,4988.881291
377,4988.881291
378,4988.881291
379,4988.881291
380,4988.881291
381,4988.881291
382,4988.881291
383,4988.881291
384,4988.881291
385,4988.881291
386,4988.881291
387,4988.881291
388,4988.881291
389,4988.881291
390,4988.881291
391,4988.881291
392,4988.881291
393,4988.881291
394,4988.881291
395,4988.881291
396,4988.881291
397,4988.881291
398,4988.881291
399,4988.881291
400,4988.881291
401,4988.881291
402,4988.881291
403,4988.881291
404,4988.881291
405,4988.881291
406,4988.881291
407,4988.881291
408,4988.881291
409,4988.881291
410,4988.881291
411,4988.881291
412,4988.881291
413,4988.881291
414,4988.881291
415,4988.881291
416,4988.881291
417,4988.881291
418,4988.881291
419,4988.881291
420,4988.881291
421,4988.881291
422,4988.881291
423,4988.881291
424,4988.881291
425,4988.881291
426,4988.881291
427,4988.881291
428,4988.881291
429,4988.881291
430,4988.881291
