generation,best_length
172,2035.434983
173,2035.434983
174,2035.434983
175,2035.434983
176,2035.434983
177,2035.434983
178,2035.434983
179,2035.434983
180,2035.434983
181,2035.434983
182,2035.434983
183,2035.434983
184,2035.434983
185,2035.434983
186,2035.434983
187,2035.434983
188,2035.434983
189,2035.434983
190,2035.434983
191,2035.434983
192,2035.434983
193,2035.434983
194,2035.434983
195,2035.434983
196,2035.434983
197,2035.434983
198,2035.434983
199,2035.434983
200,2035.434983
201,2035.434983
202,2035.434983
203,2035.434983
204,2035.434983
205,2035.434983
206,2035.434983
207,2035.434983
208,2035.434983
209,2035.434983
210,2035.434983
211,2035.434983
212,2035.434983
213,2035.434983
214,2035.434983
215,2035.434983
216,2035.434983
217,2035.434983
218,2035.434983
219,2035.434983
220,2035.434983
221,2035.434983
222,2035.434983
223,2035.434983
224,2035.434983
225,2035.434983
226,2035.434983
227,2035.434983
228,2035.434983
229,2035.434983
230,2035.434983
231,2035.434983
232,2035.434983
233,2035.434983
234,2035.434983
235,2035.434983
236,2035.434983
237,2035.434983
238,2035.434983
239,2035.434983
240,2035.434983
241,2035.434983
242,2035.434983
243,2035.434983
244,2035.434983
245,2035.434983
246,2035.434983
247,2035.434983
248,2035.434983
249,2035.434983
250,2035.434983
251,2035.434983
252,2035.434983
253,2035.434983
254,2035.434983
255,2035.434983
256,2035.434983
257,2035.434983
258,2035.434983
259,2035.434983
260,2035.434983
261,2035.434983
262,2035.434983
263,2035.434983
264,2035.434983
265,2035.434983
266,2035.434983
267,2035.434983
268,2035.434983
269,2035.434983
270,2035.434983
271,2035.434983
272,2035.434983
273,2035.434983
274,2035.434983
275,2035.434983
276,2035.434983
277,2035.434983
278,2035.434983
279,2035.434983
280,2035.434983
281,2035.434983
282,2035.434983
283,2035.434983
284,2035.434983
285,2035.434983
286,2035.434983
287,2035.434983
288,2035.434983
289,2035.434983
290,2035.434983
291,2035.434983
292,2035.434983
293,2035.434983
294,2035.434983
295,2035.434983
296,2035.434983
297,2035.434983
298,2035.434983
299,2035.434983
300,2035.434983
301,2035.434983
302,2035.434983
303,2035.434983
304,2035.434983
305,2035.434983
306,2035.434983
307,2035.434983
308,2035.434983
309,2035.434983
310,2035.434983
311,2035.434983
312,2035.434983
313,2035.434983
314,2035.434983
315,2035.434983
316,2035.434983
317,2035.434983
318,2035.434983
319,2035.434983
320,2035.434983
321,2035.434983
322,2035.434983
323,2035.434983
324,2035.434983
325,2035.434983
326,2035.434983
327,2035.434983
328,2035.434983
329,2035.434983
330,2035.434983
331,2035.434983
332,2035.434983
333,2035.434983
334,2035.434983
335,2035.434983
336,2035.434983
337,2035.434983
338,2035.434983
339,2035.434983
