generation,best_length
135,2801.543859
136,2801.543859
137,2801.543859
138,2801.543859
139,2801.543859
140,2801.543859
141,2801.543859
142,2801.543859
143,2801.543859
144,2801.543859
145,2801.543859
146,2801.543859
147,2801.543859
148,2801.543859
149,2801.543859
150,2801.543859
151,2801.543859
152,2801.543859
153,2801.543859
154,2801.543859
155,2801.543859
156,2801.543859
157,2801.543859
158,2801.543859
159,2801.543859
160,2801.543859
161,2801.543859
162,2801.543859
163,2801.543859
164,2801.543859
165,2801.543859
166,2801.543859
167,2801.543859
168,2801.543859
169,2801.543859
170,2801.543859
171,2801.543859
172,2801.543859
173,2801.543859
174,2801.543859
175,2801.543859
176,2801.543859
177,2801.543859
178,2801.543859
179,2801.543859
180,2801.543859
181,2801.543859
182,2801.543859
183,2801.543859
184,2801.543859
185,2801.543859
186,2801.543859
187,2801.543859
188,2801.543859
189,2801.543859
190,2801.543859
191,2801.543859
192,2801.543859
193,2801.543859
194,2801.543859
195,2801.543859
196,2801.543859
197,2801.543859
198,2801.543859
199,2801.543859
200,2801.543859
201,2801.543859
202,2801.543859
203,2801.543859
204,2801.543859
205,2801.543859
206,2801.543859
207,2801.543859
208,2801.543859
209,2801.543859
210,2801.543859
211,2801.543859
212,2801.543859
213,2801.543859
214,2801.543859
215,2801.543859
216,2801.543859
217,2801.543859
218,2801.543859
219,2801.543859
220,2801.543859
221,2801.543859
222,2801.543859
223,2801.543859
224,2801.543859
225,2801.543859
226,2801.543859
227,2801.543859
228,2801.543859
229,2801.543859
230,2801.543859
231,2801.543859
232,2801.543859
233,2801.543859
234,2801.543859
235,2801.543859
236,2801.543859
237,2801.543859
238,2801.543859
239,2801.543859
240,2801.543859
241,2801.543859
242,2801.543859
243,2801.543859
244,2801.543859
245,2801.543859
246,2801.543859
247,2801.543859
248,2801.543859
249,2801.543859
250,2801.543859
251,2801.543859
252,2801.543859
253,2801.543859
254,2801.543859
255,2801.543859
256,2801.543859
257,2801.543859
258,2801.543859
259,2801.543859
260,2801.543859
261,2801.543859
262,2801.543859
263,2801.543859
264,2801.543859
265,2801.543859
266,2801.543859
267,2801.543859
268,2801.543859
269,2801.543859
270,2801.543859
271,2801.543859
272,2801.543859
273,2801.543859
274,2801.543859
275,2801.543859
276,2801.543859
277,2801.543859
278,2801.543859
279,2801.543859
280,2801.543859
281,2801.543859
282,2801.543859
283,2801.543859
284,2801.543859
285,2801.543859
286,2801.543859
287,2801.543859
288,2801.543859
289,2801.543859
290,2801.543859
291,2801.543859
292,2801.543859
293,2801.543859
294,2801.543859
295,2801.543859
296,2801.543859
297,2801.543859
298,2801.543859
299,2801.543859
300,2801.543859
301,2801.543859
302,2801.543859
303,2801.543859
304,2801.543859
305,2801.543859
